hashed_uid,date,pam_score_mean,pam_n_responses,frac_stationary,n_activity_readings,dark_hours,conversation_hours,n_gps_readings,mean_accuracy,km_from_campus,n_deadlines,has_deadline,is_weekend,day_of_week
02b34100f41b4332,2013-04-29,9.2,5.0,0.9538814439212846,8283.0,16.485277777777778,3.555555555555556,72.0,23.105666666666664,0.1784294499334197,1.0,1.0,0,Monday
02b34100f41b4332,2013-04-30,12.2,5.0,0.975319253438114,8144.0,12.068333333333332,2.4677777777777776,71.0,20.83983098591549,0.179423827264065,1.0,1.0,0,Tuesday
02b34100f41b4332,2013-05-01,10.333333333333334,3.0,0.9400270369915202,8137.0,13.135,3.6175,72.0,31.753861111111107,0.1802153385496351,0.0,0.0,0,Wednesday
02b34100f41b4332,2013-05-02,14.0,3.0,0.9574854651162792,8256.0,,2.1591666666666667,72.0,26.004097222222224,0.1801375681071799,0.0,0.0,0,Thursday
02b34100f41b4332,2013-05-03,14.0,1.0,0.9567319313512208,8274.0,12.813611111111111,5.708888888888889,72.0,36.457791666666665,0.1800046734241758,0.0,0.0,0,Friday
02b34100f41b4332,2013-05-04,13.0,3.0,0.9906024096385542,8300.0,15.447777777777778,2.848333333333333,144.0,24.585756944444444,0.1810227621168403,0.0,0.0,1,Saturday
02b34100f41b4332,2013-05-05,15.0,3.0,0.9723396545476508,8279.0,9.612222222222222,2.260555555555555,143.0,30.688139860139856,0.1803758161143221,0.0,0.0,1,Sunday
02b34100f41b4332,2013-05-06,15.0,1.0,0.9195163654127992,8188.0,20.346666666666668,4.216388888888889,144.0,34.24075,0.1790841097463085,0.0,0.0,0,Monday
02b34100f41b4332,2013-05-07,14.5,6.0,0.9203912343691965,8077.0,14.918055555555556,4.460555555555556,142.0,30.92307042253521,0.177711980347936,1.0,1.0,0,Tuesday
02b34100f41b4332,2013-05-08,14.333333333333334,3.0,0.9422536930777684,8191.0,7.461944444444445,5.432499999999999,141.0,40.71692907801418,0.1789198873718627,0.0,0.0,0,Wednesday
02b34100f41b4332,2013-05-09,15.0,1.0,0.9473293768545994,4044.0,,0.6447222222222222,70.0,50.29032857142857,0.1796834783549428,0.0,0.0,0,Thursday
02b34100f41b4332,2013-05-11,8.0,3.0,0.9647330657910738,8223.0,18.29138888888889,3.8775,142.0,32.19083098591549,0.1795086087369145,0.0,0.0,1,Saturday
02b34100f41b4332,2013-05-12,10.75,4.0,0.9675505509141542,8259.0,13.068888888888887,1.7261111111111112,144.0,42.18360416666667,0.1805417792182531,0.0,0.0,1,Sunday
02b34100f41b4332,2013-05-13,14.75,4.0,0.9175421451258244,8186.0,17.781111111111112,3.0091666666666668,140.0,42.95348571428572,0.1806811875710967,1.0,1.0,0,Monday
02b34100f41b4332,2013-05-14,12.8,5.0,0.9398368042869322,8211.0,14.215555555555554,3.3472222222222223,139.0,41.457496402877695,0.1811365492177889,0.0,0.0,0,Tuesday
02b34100f41b4332,2013-05-15,14.333333333333334,3.0,0.9639519359145527,8239.0,20.860277777777775,3.3841666666666668,143.0,49.124419580419584,0.1818467978515365,0.0,0.0,0,Wednesday
02b34100f41b4332,2013-05-16,15.0,1.0,1.0,8340.0,,1.7369444444444444,144.0,55.33417361111111,0.1827741563306925,0.0,0.0,0,Thursday
02b34100f41b4332,2013-05-17,15.0,2.0,0.9478586982821195,8266.0,14.420555555555556,5.718055555555556,144.0,59.22163888888888,0.1821251147595189,0.0,0.0,0,Friday
02b34100f41b4332,2013-05-18,15.0,2.0,1.0,8327.0,5.26,1.2908333333333333,144.0,53.18172916666666,0.1825643341563502,0.0,0.0,1,Saturday
