date,gdelt_mood,gdelt_avg_tone,gdelt_avg_goldstein,gdelt_total_mentions,gdelt_total_sources,gdelt_salient_events,gdelt_dominant_event,trends_avg,trends_zscore,trends_mood,compound_mood,mood_label
2013-04-11,19.5,2.3052047821845547,0.4415322580645161,12421.0,1843.0,248.0,United States -> Unknown (Make statement),35.2,1.7499279414689397,-58.3,-27.2,Mildly negative
2013-04-12,15.2,2.080465118470757,0.4111969111969112,14659.0,2021.0,259.0,The Us -> Unknown (Make statement),31.6,1.4309537344163736,-47.7,-22.5,Mildly negative
2013-04-13,-11.1,2.1521123147982877,0.10256410256410256,9940.0,1579.0,195.0,United States -> Unknown (Make statement),26.4,0.28264658902713546,-9.4,-10.1,Mildly negative
2013-04-14,4.6,1.5802366154599932,0.03467741935483869,6567.0,902.0,124.0,Unknown -> San Francisco (Consult),29.0,-1.3760192876462087,45.9,29.4,Mildly positive
2013-04-15,43.5,2.4140605727168754,0.8557213930348259,11866.0,1517.0,201.0,Supreme Court -> Unknown (Reduce relations),31.4,-0.5466863493095366,18.2,28.3,Mildly positive
2013-04-16,-3.8,2.1936797191169166,0.12707182320441984,9021.0,1223.0,181.0,Arkansas -> Unknown (Coerce),32.6,0.21885174761662135,-7.3,-5.9,Neutral
2013-04-17,9.8,2.2276107557859484,-0.03618090452261307,10780.0,1467.0,199.0,Judge -> Civilian (Appeal),32.8,0.6016207960797014,-20.1,-8.1,Neutral
2013-04-18,-73.6,2.1645406095300053,-0.7403587443946188,12551.0,1586.0,223.0,Unknown -> Fire Department (Fight),33.4,0.6654156374902133,-22.2,-42.8,Negative
2013-04-19,28.2,2.1475770483525323,0.26666666666666666,7141.0,956.0,129.0,Washington -> Unknown (Aid),31.0,0.8568001617217534,-28.6,-5.9,Neutral
2013-04-20,20.0,2.0949896536724357,0.4069444444444444,3759.0,511.0,72.0,Denver -> Unknown (Engage diplomatically),24.6,0.09126206479559539,-3.0,6.2,Neutral
2013-04-21,-33.2,1.9166907302233227,0.11578947368421058,1756.0,222.0,38.0,Unknown -> American (Reduce relations),30.4,-1.9501728603408268,65.0,25.7,Mildly positive
2013-04-22,25.7,1.7710018537334522,0.45808383233532934,9717.0,1272.0,167.0,Police -> Unknown (Cooperate),35.0,-0.1001224594359447,3.3,12.3,Mildly positive
2013-04-23,-23.7,1.7801238889861346,-0.30405405405405406,13620.0,1954.0,222.0,Senator -> Unknown (Engage diplomatically),34.4,1.3671588930058596,-45.6,-36.8,Mildly negative
2013-04-24,20.5,1.9495505269835343,0.31893491124260354,8187.0,1295.0,169.0,Unknown -> Coast Guard (Consult),33.6,1.1757743687743194,-39.2,-15.3,Mildly negative
2013-04-25,-4.5,2.129714411432672,0.336595744680851,12977.0,1871.0,235.0,Exxon -> Unknown (Reject),34.4,0.9205950031322675,-30.7,-20.2,Mildly negative
2013-04-26,36.7,2.2056997848668454,0.5009302325581395,12144.0,1791.0,215.0,San Francisco -> Military (Engage diplomatically),30.8,1.1757743687743194,-39.2,-8.8,Neutral
2013-04-27,-32.9,2.046149674125055,-0.689795918367347,9557.0,1556.0,147.0,Obama -> Lawmaker (Disapprove),25.4,0.027467223385082402,-0.9,-13.7,Mildly negative
2013-04-28,49.0,2.0354457039845504,0.8877551020408163,5455.0,707.0,98.0,Unknown -> Obama (Engage diplomatically),30.6,-1.6949934946987748,56.5,53.5,Positive
2013-04-29,-10.4,1.9995229215831645,0.17469135802469135,9058.0,1316.0,162.0,Prison -> Unknown (Coerce),34.6,-0.03632761802543057,1.2,-3.4,Neutral
2013-04-30,9.3,1.9195157513495336,0.16533333333333333,10921.0,1709.0,225.0,New York -> Unknown (Make statement),35.2,1.2395692101848335,-41.3,-21.1,Mildly negative
2013-05-01,6.5,1.9438234569292427,0.08333333333333334,10444.0,1419.0,186.0,Scientist -> Unknown (Consult),32.8,1.4309537344163736,-47.7,-26.0,Mildly negative
2013-05-02,34.0,2.4299966677234295,0.6885017421602787,16895.0,2158.0,287.0,Nebraska -> Unknown (Coerce),33.0,0.6654156374902133,-22.2,0.3,Neutral
2013-05-03,-4.6,2.0915455933572726,0.2261168384879725,16700.0,2141.0,291.0,Washington -> Unknown (Make statement),30.2,0.7292104789007274,-24.3,-16.4,Mildly negative
2013-05-04,10.5,2.19511889800293,0.11075949367088607,9581.0,1259.0,158.0,Phoenix -> Unknown (Consult),25.8,-0.16391730084645767,5.5,7.5,Neutral
2013-05-05,23.8,1.6684620014727451,0.4387096774193548,5465.0,709.0,93.0,United States -> Unknown (Appeal),29.0,-1.5674038118777478,52.2,40.8,Positive
2013-05-06,-2.5,2.141650962324145,-0.1377551020408163,10721.0,1544.0,196.0,Settlement -> Unknown (Appeal),34.8,-0.5466863493095366,18.2,9.9,Neutral
2013-05-07,12.1,2.414648453818972,0.21357615894039736,15128.0,2358.0,302.0,Unknown -> Bahama (Consult),33.2,1.3033640515953453,-43.4,-21.2,Mildly negative
2013-05-08,-100.0,2.4352507896831597,-0.35335365853658535,18219.0,2466.0,328.0,Phoenix -> Unknown (Fight),32.6,0.7930053203112415,-26.4,-55.8,Negative
2013-05-09,-8.4,2.2476106564233476,0.2914473684210526,16729.0,2364.0,304.0,Arizona -> Unknown (Fight),32.2,0.6016207960797014,-20.1,-15.4,Mildly negative
2013-05-10,-9.3,2.158310616026628,-0.10000000000000003,15839.0,2210.0,291.0,Thieves -> Bank (Aid),30.8,0.47403111325867553,-15.8,-13.2,Mildly negative
2013-05-11,-37.4,1.9245529367921905,0.027419354838709695,6045.0,901.0,124.0,Dominican Republic -> New York (Fight),26.6,0.027467223385082402,-0.9,-15.5,Mildly negative
2013-05-12,-67.0,2.3356364664761555,-0.6055555555555555,7996.0,1073.0,126.0,Prosecutor -> United States (Coerce),28.2,-1.3122244462356947,43.7,-0.6,Neutral
2013-05-13,-9.8,2.0225597295294255,-0.07745454545454546,16145.0,2281.0,275.0,Prosecutor -> Unknown (Make statement),33.6,-0.8018657149515898,26.7,12.1,Mildly positive
2013-05-14,-21.7,2.1693288531203256,-0.35088757396449705,24925.0,3090.0,338.0,Companies -> Unknown (Appeal),33.4,0.9205950031322675,-30.7,-27.1,Mildly negative
2013-05-15,-18.3,2.2593916149724658,-0.3425655976676385,19255.0,2643.0,343.0,United States -> Unknown (Make statement),32.0,0.8568001617217534,-28.6,-24.5,Mildly negative
2013-05-16,2.5,1.9837245476176557,-0.16073825503355707,18006.0,2597.0,298.0,Washington -> Unknown (Appeal),30.8,0.4102362718481614,-13.7,-7.2,Neutral
2013-05-17,19.3,1.9979575667811396,0.17470355731225298,13846.0,1940.0,253.0,Texas -> Unknown (Cooperate),30.6,0.027467223385082402,-0.9,7.2,Neutral
2013-05-18,2.7,1.8689357517457754,-0.6414634146341464,7056.0,970.0,123.0,Unknown -> New York City  (Consult),25.4,-0.03632761802543057,1.2,1.8,Neutral
2013-05-19,52.9,1.8998785796104989,0.8370192307692308,10435.0,1706.0,208.0,Unknown -> New York City  (Consult),27.4,-1.6949934946987748,56.5,55.1,Positive
2013-05-20,36.8,2.193021874996492,0.6522648083623693,17678.0,2496.0,287.0,Alaska -> Unknown (Appeal),32.2,-1.0570450805936427,35.2,35.8,Mildly positive
2013-05-21,74.6,2.1801370234023945,0.830607476635514,29294.0,3686.0,428.0,Oklahoma -> Unknown (Investigate),30.8,0.47403111325867553,-15.8,20.4,Mildly positive
2013-05-22,43.8,2.4426147948966754,0.8337078651685393,20091.0,2811.0,356.0,Nebraska -> Obama (Consult),31.6,0.027467223385082402,-0.9,17.0,Mildly positive
2013-05-23,-1.3,2.1659577271864694,0.17579365079365078,13966.0,1823.0,252.0,Google -> Unknown (Investigate),29.8,0.28264658902713546,-9.4,-6.2,Neutral
2013-05-24,-17.9,2.1161787046659293,-0.1032520325203252,12620.0,1734.0,246.0,Washington -> Unknown (Make statement),26.4,-0.2915069836674836,9.7,-1.3,Neutral
